name,handedness,height,weight,avg,HR
Brian Bogusevic,L,75,210,0.236,17
Rodney McCray,R,70,175,0.214,0
Eduardo Perez,R,76,215,0.247,79
Joe Jackson,L,73,200,0.356,54
John Jackson,R,74,180,0.143,0
Fritz Peterson,B,72,185,0.159,2
Dick Bertell,R,72,200,0.25,10
Billy DeMars,R,70,160,0.237,0
Jim Todd,L,74,190,0.059,0
Mel Nelson,R,72,185,0.147,0
Jack Morris,R,75,195,0,0
Jack Morrissey,B,70,160,0.258,0
Brad Brach,R,77,210,0,0
Raul Sanchez,R,72,150,0.214,0
Harry Salisbury,L,68,162,0.133,0
D'Angelo Jimenez,B,72,190,0.263,36
Bill Steele,R,71,200,0.203,0
Noodles Hahn,L,69,160,0.176,2
Jhoulys Chacin,R,75,215,0.17,1
Jerry Stephenson,L,74,185,0.231,0
John Wehner,R,75,205,0.249,4
Jimmy Rosario,B,70,155,0.216,1
Art Ewoldt,R,70,165,0.219,0
Carter Elliott,L,71,165,0.25,0
Rod Kanehl,R,73,180,0.241,6
Bret Boone,R,70,180,0.266,252
Guy Morrison,R,71,185,0.125,1
D.J. Carrasco,R,76,220,0,0
Charlie Buffinton,R,73,180,0.245,7
Harry Clarke,, , ,0,0
Wilson Betemit,B,74,220,0.267,75
Jack Bentley,L,71,200,0.291,7
Bill Goodenough,,73,170,0.161,0
Colt Hynes,L,71,200,0,0
Chang-Yong Lim,R,71,175,0,0
Don Collins,R,74,195,0,0
Evar Swanson,R,69,170,0.303,7
Kevin Kobel,R,72,180,0.178,0
Matthew Porter,, , ,0.083,0
Mickey Doolan,R,70,170,0.23,15
Al Baker,R,71,170,0,0
Drew Macias,L,75,175,0.198,3
Allan Lewis,B,72,170,0.207,1
Mark Budaska,B,72,180,0.167,0
Chris Hoiles,R,72,195,0.262,151
Greg Halman,R,76,200,0.207,2
Warren Spahn,L,72,172,0.194,35
Nick Adenhart,R,75,185,0,0
Edd Roush,L,71,170,0.323,68
Mo Sanford,R,78,220,0,0
Ray Moore,R,72,195,0.187,6
Tom Walker,R,73,188,0.152,0
Randy Moore,L,72,185,0.278,27
Ricky Wright,L,75,175,0.125,0
Archie Campbell,R,72,180,0.263,0
Frank Lary,R,71,175,0.177,6
Ron Negray,R,73,185,0.086,0
Ramon Ortiz,R,72,175,0.076,1
Charlie Bennett,R,71,180,0.256,55
Nick Bierbrodt,L,77,215,0.5,0
John Mercer,L,70,155,0,0
Jose Mercedes,R,73,180,0.053,0
Jordy Mercer,R,75,200,0.273,9
Ozzie Osborn,R,74,195,0,0
Brad Mills,L,71,185,0,0
Sparrow Morton,, , ,0.375,0
Paul Swingle,R,72,185,0,0
George Radbourn,, ,160,0.167,0
John LaRose,L,73,185,0,0
Kevin Hickey,L,73,170,0,0
Max Wilson,L,67,160,0,0
Hugo Klaerner,R,71,190,0.333,0
Elias Sosa,R,74,186,0.13,0
Jeff Byrd,R,75,195,0,0
Geraldo Guzman,R,74,180,0,0
Daniel Webb,R,75,210,0,0
Mendy Lopez,R,74,200,0.242,6
Syd Cohen,B,71,180,0.152,0
Skinny Graham,L,67,162,0.246,0
Juan Bonilla,R,69,170,0.256,7
Skinny Graham,R,74,172,0.122,1
Lin Storti,B,71,165,0.227,9
Eric Reed,L,71,170,0.098,0
Kevin Batiste,R,74,178,0.25,0
Rich Harden,L,73,195,0.145,0
Rob Dressler,R,75,180,0.105,0
Pete Charton,L,74,190,0.1,0
Tom Evans,R,73,200,0.255,1
Don Padgett,L,72,190,0.288,37
Ralph Hodgin,L,70,167,0.285,4
Jim Mains,R,74,190,0,0
Jeff Baker,R,74,210,0.267,48
Mike Krsnich,R,73,190,0.19,0
Wild Bill Luhrsen,R,69,165,0,0
Ralph Weigel,R,73,180,0.23,0
Guy Hoffman,L,69,175,0.1,0
Ed McKenna,, , ,0.188,0
Cliff Mapes,L,75,205,0.242,38
Fred Walters,R,73,210,0.172,0
John Frascatore,R,73,200,0.059,0
Al Spohrer,R,70,175,0.259,6
Brad Hogg,R,72,185,0.247,0
Ted Easterly,L,68,165,0.3,8
Jay Payton,R,70,205,0.279,119
Bob Sebra,R,74,200,0.146,0
Joe Lawrence,R,74,190,0.18,2
Frank Tepedino,L,71,185,0.241,6
John Irwin,L,70,168,0.246,3
Danny Richardson,R,68,165,0.254,32
Howard Murphy,L,68,150,0.2,0
Kenny Rogers,L,73,200,0.136,0
Kevin Rogers,L,74,190,0.167,0
Ed Cihocki,R,68,163,0.143,0
Josh Rutledge,R,73,190,0.254,15
Damon Mashore,R,71,195,0.249,8
Walter Young,L,77,320,0.303,1
Roy Evans,R,72,180,0.159,0
Footer Johnson,L,71,175,0,0
Chuck McElroy,L,72,160,0.214,0
Ben Sankey,R,70,155,0.213,0
Bryan Shaw,B,73,210,0,0
Bobby Murray,L,67,155,0.189,0
Pink Hawley,L,70,185,0.241,11
Doc Nance,R,67,165,0.277,7
Bob Katz,R,71,190,0,0
Jack Burdock,R,69,158,0.25,18
Brandon Backe,R,72,182,0.256,4
Robinson Chirinos,R,73,195,0.205,1
Jim Dyck,R,74,200,0.246,26
Chris Pettit,R,72,195,0.286,0
Jeremy Reed,L,72,195,0.252,12
Jeff Reed,L,74,190,0.25,61
Jerry Reed,R,73,190,0,0
Charlie Frank,,70,170,0.298,5
Larry Jansen,R,74,190,0.15,1
Joe Coleman,R,75,175,0.106,0
Joe Marty,R,72,182,0.261,44
Esix Snead,B,70,175,0.308,1
Bill Starr,R,73,175,0.208,0
Joe Sewell,L,66,155,0.312,49
Al Tedrow,R,72,180,0.167,0
Casey Stengel,L,71,175,0.284,60
Tom Nagle,R,70,150,0.249,1
Ollie Tucker,L,71,180,0.155,1
John Gochnauer,R,69,160,0.187,0
Lyle Mouton,R,76,240,0.28,22
Bill Atkinson,L,67,165,0.3,0
Lil Stoner,R,69,180,0.172,2
Tiny Graham,R,74,185,0.23,0
Jerry Kutzler,L,73,175,0,0
Ed Kippert,R,70,180,0,0
Bruce Hartford,R,72,190,0.182,0
Lyle Luttrell,R,72,180,0.192,2
Caleb Johnson,, , ,0.224,0
Keith Shepherd,R,74,205,0,0
Bob Giallombardo,L,72,175,0.167,0
Ray Berres,R,69,170,0.216,3
George Thomas,R,75,190,0.255,46
Alvin Davis,L,73,195,0.28,160
Greg Booker,R,78,230,0.174,0
Bob Hall,,70,158,0.203,2
Bob Hall,R,74,195,0.208,1
Bob O'Farrell,R,69,180,0.273,51
Biggs Wehde,R,70,180,0,0
Jim Kelly,L,70,180,0.297,4
Al Closter,L,74,190,0,0
George Pipgras,R,73,185,0.163,2
Adam Rocap,,69,170,0.174,0
Ed Rowen,,66,155,0.242,1
Vinegar Bend Mizell,R,75,205,0.111,1
Harry Berte,,70,160,0.333,0
Gary Wagner,R,76,185,0.081,0
Rick Wise,R,73,180,0.195,15
Bob Friedrichs,R,71,165,0,0
Dee Moore,R,71,190,0.232,1
Eric Rodin,R,74,215,0,0
Steve Gibralter,R,72,185,0.2,0
Wil Cordero,R,74,185,0.273,122
Darrell Evans,L,74,200,0.248,414
Earl Francis,R,74,210,0.172,1
Jeff Bronkey,R,75,215,0,0
Leo Burke,R,71,185,0.239,9
Les Burke,L,69,168,0.259,0
Jerry Cram,R,72,180,0.167,0
Gene Derby,,67,160,0.129,0
George Derby,L,72,175,0.196,0
Bill Brady,,73,180,0,0
Moxie Hengle,R,68,144,0.18,0
Mac Suzuki,R,75,205,0.08,0
Jesse Levan,L,72,172,0.286,1
Raleigh Aitchison,R,71,175,0.169,0
Ricky Seilheimer,L,71,185,0.212,1
Matt Wagner,R,77,215,0,0
Fred Smith,L,72,186,0.107,0
Fred Smith,R,71,185,0.226,8
Frank Smith,R,75,195,0.115,0
John Rheinecker,L,74,230,0,0
Mickey Vernon,L,74,170,0.286,172
Frank Smith,R,70,175,0.25,0
Fred Smith,L,71,156,0.167,0
Henry Baldwin,R,71,180,0.312,0
Ron Moeller,L,72,180,0.205,0
Nick Strincevich,R,73,180,0.158,0
Bill Moore,L,71,170,0.207,0
Bill Conroy,R,72,185,0.199,5
Bill Conroy,R,68,160,0.133,0
Bill Moore,R,75,195,0,0
Danny Reynolds,R,71,158,0.167,0
Mike Balenti,R,71,175,0.183,0
Bill Wilson,R,74,195,0.083,0
Chuck Rainey,R,71,190,0.138,0
Mike Goodfellow,R,72,180,0.242,0
Normie Roy,R,72,200,0.167,0
Deunte Heath,R,76,215,0,0
Chip Coulter,B,70,172,0.316,0
Marcus Moore,B,77,195,0.2,0
Sam Trott,L,69,190,0.25,3
Randy Choate,L,73,200,0,0
Donne Wall,R,73,180,0.176,0
Carlos Fisher,R,76,225,0,0
Arthur Rhodes,L,74,220,0.167,0
Mike Stenhouse,L,73,195,0.19,9
Jimmy Walsh,L,70,170,0.232,6
Chan Ho Park,R,74,210,0.179,3
Dutch Hoffman,R,72,175,0.258,3
George Townsend,R,67,180,0.187,0
John Peters,R,72,192,0.265,7
Joe Slusarski,R,76,195,0.111,0
Mike Schemer,L,72,180,0.33,1
Neil Wilson,L,73,175,0,0
Rusty Richards,L,76,200,0,0
Juice Latham,R,68,164,0.247,0
Buck Martinez,R,70,190,0.225,58
Ed Summers,B,74,180,0.162,2
Dutch Dietz,R,71,180,0.178,0
Dick Tomanek,L,73,175,0.18,1
Fred Trautman,R,73,175,0,0
Carl Zamloch,R,73,176,0.182,0
Willie Randolph,R,71,165,0.276,54
Everett Scott,R,68,148,0.249,20
Dave Shean,R,71,175,0.228,6
Harry Bay,L,68,138,0.273,5
Chad Hermansen,R,74,185,0.195,13
Franquelis Osoria,R,72,210,0.133,0
Erik Hiljus,R,77,230,0,0
Al Halt,R,72,180,0.239,6
Roy Moran,R,68,155,0.154,0
George Hogan,R,72,160,0,0
Jim Walsh,L,71,175,0,0
Bert Thiel,R,70,185,0,0
Jimmy Walsh,R,69,174,0.285,25
Mike Schultz,R,79,220,0,0
Tim Burke,R,75,205,0.045,0
Johnny Dickshot,R,72,195,0.276,7
Tim Spehr,R,74,205,0.198,19
Wally Gilbert,R,72,180,0.269,7
Pedro Swann,L,72,195,0.143,1
Norm McRae,R,73,195,0,0
Rosy Ryan,L,72,185,0.19,1
John Wockenfuss,R,72,190,0.262,86
Pete Dowling,,71,165,0.199,1
Tommy McCraw,L,72,183,0.246,75
George Perring,R,72,190,0.248,9
Ron Belisario,R,75,235,0,0
Harry Stovey,R,71,175,0.289,122
Peaches Davis,L,75,190,0.178,0
Mike Pelfrey,R,79,230,0.098,0
Scott May,R,73,185,0,0
George Kopacz,L,73,195,0.12,0
Yale Murphy,L,63,125,0.239,0
Mike Cvengros,L,68,159,0.201,0
Fred Taylor,L,75,201,0.191,0
Tim McIntosh,R,71,195,0.179,2
Ralph Mauriello,R,75,195,0,0
Larry Crawford,L,73,165,0,0
Everett Bankston,L,71,180,0.139,1
Rusty Ryal,R,74,200,0.263,6
Cecilio Guante,R,75,200,0.061,0
Bill Bartley,R,71,190,0.12,0
Jeff Barkley,B,75,185,0,0
Eric Wilkins,R,73,190,0,0
Jimmy Burke,R,67,160,0.244,1
Robbie Grossman,B,72,205,0.268,4
Gary Waslewski,R,76,190,0.045,0
Tim Salmon,R,75,200,0.282,299
Alex Delgado,R,73,196,0.25,0
Oscar Graham,L,72,180,0.229,1
Mark Gubicza,R,78,215,0,0
Ezequiel Carrera,L,70,185,0.251,2
Mark Mauldin,R,71,170,0.263,1
Britt Burns,L,77,215,0,0
Belve Bean,R,73,197,0.264,1
Tim Barrett,L,73,185,0,0
Lloyd Moseby,L,75,200,0.257,169
Harry Harper,L,74,165,0.147,0
Pat O'Connell,R,70,175,0.181,0
Paddy O'Connor,R,68,168,0.225,0
George Eyrich,R,71,175,0,0
Harry Curtis,,70,170,0.222,0
Walter Tappan,R,68,158,0.205,1
Fred Klobedanz,L,71,190,0.277,7
Luis Peraza,R,71,185,0,0
Ray Francis,L,73,182,0.159,0
Lee Lacy,R,73,175,0.286,91
Paul Hodgson,R,74,190,0.22,1
Hugh Yancy,R,71,170,0.105,0
Fred Fagin,, , ,0.333,0
Dave Van Gorder,R,74,205,0.212,3
Joe Weber,R,69,167,0,0
Bob Kahle,R,72,170,0.333,0
Juan Salas,R,74,190,0,0
Nick Scharf,, , ,0.192,1
Elmer Eggert,R,69,160,0,0
Willis Otanez,R,73,200,0.236,7
Zack Wheat,L,70,170,0.317,132
Francisco Melendez,L,72,190,0.214,1
Ian Krol,L,73,210,0,0
Zeke Wilson,R,70,165,0.215,1
Jim Mallory,R,73,170,0.268,0
Pete Rose,B,71,192,0.303,160
Oscar Dugey,R,68,160,0.194,1
Mike Sullivan,R,68,165,0.277,1
Jim Bagby,R,74,170,0.226,3
Jim Bagby,B,72,170,0.218,2
Ryan Thompson,R,75,200,0.243,52
Adam Russell,R,80,255,0,0
Kelly Paris,R,72,175,0.217,3
Charlie Mills,,72,165,0.226,0
Bill Mellor,R,72,190,0.361,0
Babe Dahlgren,R,72,190,0.261,82
Curt Roberts,R,68,165,0.223,1
Kelly Heath,R,67,155,0,0
Danny Walton,R,72,195,0.223,28
Scott Hastings,R,68,161,0.279,0
Dallas Williams,L,71,165,0.079,0
Sean Whiteside,L,76,190,0,0
Dennis Ribant,R,71,165,0.195,0
Tom Wilson,B,73,160,0,0
Neil Weber,L,77,215,0,0
Marc Hall,R,73,190,0.072,0
Cliff Garrison,R,72,180,0,0
Lou Klimchock,L,71,180,0.232,13
Keith Lockhart,L,70,170,0.261,44
Bill Laskey,R,77,190,0.105,0
Brian Barden,R,71,200,0.211,4
Silver King,R,72,170,0.198,4
Walt Alexander,R,70,165,0.188,1
Dale Willis,R,71,165,0.167,0
Dewey Metivier,L,71,175,0.14,0
Fernando Martinez,L,73,200,0.206,9
Jersey Bakely,R,68,170,0.153,2
Xavier Rescigno,R,70,175,0.125,0
Nelson Liriano,B,70,165,0.26,25
Bo Jackson,R,73,220,0.25,141
Charlie Pabor,L,68,155,0.285,0
Hank Conger,B,73,220,0.225,13
John Rocker,R,76,210,0,0
Willie Lozado,R,72,166,0.271,1
Rex Hudler,R,73,180,0.261,56
Chris Singleton,L,74,195,0.273,45
Dick Rand,R,74,185,0.24,2
Taffy Wright,L,70,180,0.311,38
Dan Boitano,R,72,185,0,0
Rex Cecil,L,75,195,0.289,0
Gail Henley,L,69,180,0.3,1
Mike Huff,R,73,180,0.247,9
Dave Williams,L,74,205,0.122,1
Buddy Hancken,R,73,175,0,0
Roy Gleason,B,77,220,1,0
Bruce Ruffin,B,74,205,0.081,0
Phil Irwin,R,75,210,0,0
Fred Carl,L,66,158,0.202,0
Tony Kubek,L,75,190,0.266,57
Moxie Meixell,L,70,168,0.5,0
Tom Patton,R,69,185,0,0
Les German,R,68,165,0.26,3
Wally Andrews,R,75,170,0.197,0
Tony Menendez,R,74,190,0,0
Allen Ripley,R,75,190,0.139,0
Chick Evans,R, , ,0.053,0
Frank Reiber,R,68,169,0.271,2
Joel Skinner,R,76,198,0.228,17
Icehouse Wilson,R,72,186,0,0
Ted Breitenstein,L,69,167,0.216,4
Bobby Cox,R,71,180,0.225,9
Brad Wellman,R,72,170,0.231,6
Ted Goulait,R,69,172,0.5,0
Bert Maxwell,B,72,180,0.075,0
Dave Veres,R,74,195,0.259,0
Amaury Garcia,R,70,160,0.25,2
Scott Sobkowiak,R,77,230,0,0
Dave Stieb,R,72,185,0,0
Todd Ritchie,R,75,205,0.176,0
Dick Phelan,R, , ,0.242,4
Mike Durant,R,74,200,0.21,0
Greg Golson,R,72,190,0.195,0
John Scott,R,74,165,0.222,2
Lance Rautzhan,R,73,195,0,0
Les Mallon,R,68,160,0.283,8
Mike Woodard,L,69,155,0.222,1
Jim Presley,R,73,200,0.247,135
Bob Stanley,R,76,210,0,0
Clint Conatser,R,71,182,0.271,6
Bill Ramsey,R,72,175,0.292,1
Fred Pfeffer,R,70,184,0.255,94
Ellis Clary,R,68,160,0.263,1
Jesse Barnes,L,72,170,0.214,1
Joe Gleason,R,70,175,0.125,0
Cy Swaim,,78,180,0.198,0
John Buckley,L,73,200,0,0
Pinky Hargrave,B,68,180,0.278,39
Will Foley,R,69,150,0.228,0
Jeff Newman,R,74,215,0.224,63
Alfredo Figaro,R,72,175,0.214,0
Charlie Roy,R,70,190,0,0
Pedro Gonzalez,R,72,176,0.244,8
Jim McNamara,L,76,210,0.21,1
Will Holland,,70,180,0.189,0
Jamal Strong,R,70,180,0.227,0
Jason Waddell,R,74,200,0,0
Al Leiter,L,74,200,0.085,0
Joe Kostal,R,66,130,0,0
Al Cypert,R,70,150,0,0
Pat Scanlon,L,72,180,0.187,4
Vidal Nuno,L,71,195,0,0
Pat Burke,R,70,170,0,0
Bull Durham,R,70, ,0.143,0
Pat Parker,R,67,160,0.167,0
Rube Marquard,B,75,180,0.179,1
Clete Boyer,R,72,165,0.242,162
Cloyd Boyer,R,73,188,0.167,0
Bill Dinneen,R,73,190,0.192,1
Smead Jolley,L,75,210,0.305,46
Roy Parker,R,75,200,0,0
Andy Van Hekken,R,75,185,0,0
Matt Ford,B,73,170,0.143,0
Frank McCrea,R,69,155,0.2,0
Milt Gray,R,73,170,0,0
Jarvis Tatum,R,72,185,0.232,0
Tom Newell,R,73,185,0,0
John Sullivan,L,71,165,0,0
Joe Benes,R,68,158,0.167,0
Frank Cross,,69,161,0.6,0
Luis Durango,B,69,160,0.292,0
Howie Jones,L,71,165,0,0
Frank Crossin,R,70,160,0.147,0
Tony Mullane,B,70,165,0.243,8
Bump Hadley,R,71,190,0.189,0
Paul Smith,L,73,190,0.227,0
Mike Busch,R,77,241,0.22,7
Paul Smith,L,68,165,0.27,7
Paddy Smith,L,72,195,0,0
Ed Halbriter,, , ,0,0
Andy Mota,R,70,180,0.189,1
Franklin Morales,L,72,210,0.25,0
Spider Wilhelm,R,69,170,0.286,0
Red Thomas,R,71,165,0.267,1
Nardi Contreras,B,74,193,0,0
Frank Bolling,R,73,175,0.254,106
Fred Richards,L,73,185,0.296,0
Rudy Minarcin,R,72,195,0.188,0
Jeff Austin,R,72,185,0.125,0
Dave Anderson,R,74,185,0.242,19
Pete Donnelly,, , ,0.244,0
Dave Anderson,, , ,0.097,0
Red Jones,L,75,190,0.091,0
James Houser,L,76,205,0,0
Jason Roach,R,76,190,1,0
Jack Hannifin,R,71,167,0.214,3
Bill Ferrazzi,R,74,200,0,0
Joe Wall,L,70,168,0.3,0
Stover McIlwain,R,76,195,0,0
Tommie Reynolds,R,74,190,0.226,12
Matt Stairs,L,69,200,0.262,265
Horace Milan,R,69,175,0.32,0
Yasmani Grandal,B,74,210,0.271,9
Danny Gardella,L,67,160,0.267,24
Hal White,R,70,165,0.145,0
Charlie Wiedemeyer,L,75,180,0,0
Gene Clines,R,69,170,0.277,5
Dave Ross,R,74,205,0.237,88
Les Powers,L,72,175,0.327,0
Tom Wilhelmsen,R,77,230,0,0
Casey Janssen,R,75,225,0,0
Keith Mitchell,R,70,180,0.26,8
Al DeVormer,R,72,175,0.258,2
Kevin Mitchell,R,70,186,0.284,234
Johnny Berger,R,69,165,0.312,0
Emil Verban,R,71,165,0.272,1
Robbie Erlin,R,71,190,0.062,0
Chet Spencer,L,72,180,0.148,0
Otis Johnson,B,69,185,0.234,3
Jim Hickman,R,75,192,0.252,159
Jack Blott,R,72,210,0,0
Jack Billingham,R,76,195,0.111,0
Chris Dwyer,R,75,210,0,0
Gary Lavelle,B,74,190,0.081,0
George Gore,L,71,195,0.301,46
Jim Abbott,L,75,200,0.095,0
Bill Hughes,R,70,155,0,0
Bill Hughes,L, , ,0.138,0
Jim Suchecki,R,72,185,0.091,0
Fred Hayner,,72,160,0,0
Manuel Barrios,R,72,170,0,0
John Burke,B,76,220,0.19,0
Tony Parisse,R,70,165,0.143,0
Agustin Montero,R,75,210,0,0
Rafael Furcal,B,68,195,0.281,113
Scott Wiggins,L,75,205,0,0
Emmett Nelson,R,75,180,0.143,0
Quincy Trouppe,B,74,225,0.1,0
Dick Schofield,R,70,175,0.23,56
Mark Little,R,72,195,0.247,3
Jerry Buchek,R,71,185,0.22,22
Art Bader,R,70,170,0,0
George Stovall,R,74,180,0.265,15
Bill Parks,R,68,150,0.174,0
Charlie Snell,R,71,160,0.211,0
Chris Snelling,L,70,165,0.244,7
Pug Cavet,L,75,176,0.153,0
Eddie Gaillard,R,73,180,0,0
Scott Spiezio,B,74,195,0.255,119
Ivan DeJesus,R,71,175,0.254,21
Earl Reid,L,75,190,0,0
Joe Winkelsas,R,75,188,0,0
Ron Bryant,B,72,190,0.165,0
Gary Nolan,R,74,197,0.138,1
Aaron Cunningham,R,71,205,0.219,7
Joel Pineiro,R,73,200,0.102,0
Jimmy Jones,R,74,175,0.166,2
Jim Jones,R,70,162,0.23,0
Ed Poole,R,70,175,0.183,2
Philip Humber,R,75,210,0.091,0
Max Bishop,L,68,165,0.271,41
Ray Boone,R,72,172,0.275,151
Jimmy Woulfe,,71, ,0.126,0
Dylan Bundy,B,73,195,0,0
Al Piechota,R,72,195,0.2,0
Jimmy Osting,R,77,190,0,0
Steve Engel,R,75,216,0.188,1
Leo Callahan,L,68,142,0.221,1
Bob Wright,R,73,175,0,0
Wade Blasingame,L,73,185,0.166,3
Charlie Kelly,, , ,0.1,0
Frank Waddey,L,70,185,0.273,0
Calvin Jones,R,75,185,0,0
Steve Foster,R,72,180,0.2,0
Chicken Hawks,L,71,167,0.316,7
Leo Cristante,R,73,195,0.077,0
Goat Cochran,R,70,175,0,0
George Caster,R,73,180,0.184,0
Eddie Yuhas,R,73,180,0.19,0
Jordan Norberto,L,72,195,0,0
Terry McDermott,R,75,205,0.13,0
George Sharrott,L,68,164,0.238,1
Frank Gibson,B,72,172,0.274,8
Jim McLaughlin,R,68,168,0,0
Gil Patterson,R,73,185,0,0
Tim Jones,B,77,220,0,0
Jackson Todd,R,74,180,0.059,0
Tim Jones,L,70,172,0.233,1
John Lindsey,R,73,245,0.083,0
Fred Whitfield,L,73,190,0.253,108
Kevin Lomon,R,73,195,0,0
Art Kenney,L,72,175,0,0
Charlie Robinson,L, , ,0.242,0
Larry Dierker,R,76,215,0.136,4
Jim Wilson,R,75,230,0.227,0
Randy Williams,L,76,200,0,0
Wes Chamberlain,R,74,210,0.255,43
Henry Oxley,R,71,163,0,0
Todd Greene,R,70,195,0.252,71
Tommy Greene,R,77,225,0.221,4
Ed Yewell,, , ,0.237,0
Nixey Callahan,R,70,180,0.273,11
Dave Skaggs,R,74,200,0.241,3
Jim Donnelly,, , ,0.13,0
Julio Bonetti,R,72,180,0.127,0
Alfredo Marte,R,71,195,0.186,0
Jim Donnelly,R,70,155,0.23,2
Reggie Walton,R,75,205,0.25,2
Rube Kroh,L,74,186,0.181,0
Joe Bowman,L,74,190,0.221,2
Jalal Leach,L,74,200,0.1,0
Jack Graham,L,74,200,0.231,38
Jack Crimian,R,70,180,0.231,0
Roger Salmon,L,74,170,0,0
Steve Lake,R,73,180,0.237,18
Lou Collier,R,70,170,0.241,8
Hughie Tate,R,71,190,0.308,0
Brett Myers,R,76,240,0.134,0
Todd Helton,L,74,215,0.316,369
Gerald Laird,R,73,225,0.246,38
Charlie Dees,L,73,173,0.265,3
Skip Guinn,R,70,180,0,0
Hector Santiago,R,72,210,0,0
Brian McRae,B,72,175,0.261,103
Kid Madden,,67,130,0.245,2
Bill Dailey,R,75,185,0.192,1
Willie Kirkland,L,73,206,0.24,148
Jack Darragh,,74,180,0.5,0
Dick Ruthven,R,75,190,0.183,1
Ty Van Burkleo,L,77,230,0.132,1
Marc Rzepczynski,L,73,205,0,0
Kit McKenna,,69,180,0.175,0
Elston Howard,R,74,196,0.274,167
Harry Simpson,L,73,180,0.266,73
Roy Sanders,R,72,185,0,0
Bill O'Neill,B,71,175,0.243,2
Gibson Alba,L,74,160,0,0
Jerry Garvin,L,75,195,0,0
Alex Burnett,R,72,210,0,0
Joe Ellick,,70,162,0.218,0
Jack Lind,B,72,170,0.135,0
Keith Comstock,L,72,174,0,0
Randy Tate,R,75,190,0,0
Steve Eddy,R,74,185,0,0
Dave Kingman,R,78,210,0.236,442
Steve Clevenger,L,72,195,0.204,1
Bob Kuzava,B,74,202,0.086,1
